date,Unnamed: 0,Accession,FTPLink,Id,PDAT,entryType,summary,taxon,title
2020-05-01,3593,GSE149631,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149631/,200149631,2020-05-01,GSE,Targeted sequencing at Microprocessor cleavage sites in pri-miRNAs to determine processing efficiency of several pri-miRNAs in vivo in one experiment,Homo sapiens,Targeted determination of pri-miRNA processing
2020-05-01,3594,GSE149623,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149623/,200149623,2020-05-01,GSE,"The goals of this study were to compare two human chronic myeloid leukaemia cell lines. One is sensitive to the standard treatment imatinib whereas the other is resistant to imatinib. RNA-Seq was used to identify differentially expressed genes between the two cell lines. 5282 differentially expressed genes were identified, and using gene set enrichment analysis the TNFα signalling pathway via NF-κB was identified.",Homo sapiens,RNA-Seq is used to facilitate the identification of the BCR-ABL1- independent mechanism of resitance to imatinib using a human chronic myeloid leukaemia cell line model
2020-05-01,3595,GSE149376,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149376/,200149376,2020-05-01,GSE,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,Genome-wide High Resolution Mapping of Mitotic DNA Synthesis Sites and Common Fragile Sites by Direct Sequencing
2020-05-01,3596,GSE149375,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149375/,200149375,2020-05-01,GSE,"Common fragile sites (CFSs) are genomic loci prone to the formation of breaks or gaps on metaphase chromosomes. Here, we seek to map human CFSs with high resolution on a genome-wide scale by sequencing the sites of mitotic DNA synthesis (MiDASeq) that are specific for CFSs. We generated a nucleotide-resolution atlas of MiDAS sites (MDSs) that covered most of know CFSs, and comprehensively analyzed their sequence characteristics and genomic features.",Homo sapiens,Genome-wide High Resolution Mapping of Mitotic DNA Synthesis Sites and Common Fragile Sites by Direct Sequencing [WGS]
2020-05-01,3597,GSE149374,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149374/,200149374,2020-05-01,GSE,"Common fragile sites (CFSs) are genomic loci prone to the formation of breaks or gaps on metaphase chromosomes. Here, we seek to map human CFSs with high resolution on a genome-wide scale by sequencing the sites of mitotic DNA synthesis (MiDASeq) that are specific for CFSs. We generated a nucleotide-resolution atlas of MiDAS sites (MDSs) that covered most of know CFSs, and comprehensively analyzed their sequence characteristics and genomic features.",Homo sapiens,Genome-wide High Resolution Mapping of Mitotic DNA Synthesis Sites and Common Fragile Sites by Direct Sequencing [RNA-seq]
2020-05-01,3598,GSE149373,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149373/,200149373,2020-05-01,GSE,"Common fragile sites (CFSs) are genomic loci prone to the formation of breaks or gaps on metaphase chromosomes. Here, we seek to map human CFSs with high resolution on a genome-wide scale by sequencing the sites of mitotic DNA synthesis (MiDASeq) that are specific for CFSs. We generated a nucleotide-resolution atlas of MiDAS sites (MDSs) that covered most of know CFSs, and comprehensively analyzed their sequence characteristics and genomic features.",Homo sapiens,Genome-wide High Resolution Mapping of Mitotic DNA Synthesis Sites and Common Fragile Sites by Direct Sequencing [MiDA-seq]
2020-05-01,3599,GSE148944,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148944/,200148944,2020-05-01,GSE,"We investigated whether a unique immune response was instigated with the development of oral tongue squamous cell carcinomas (OTSCC), with/without nodal involvement, with/without recurrent metastatic disease, or within tumor involved nodes. 110 FFPE samples were collected from a retrospective cohort of 67 OTSCC patients and 10 non-cancerous tongue samples. Targets including CD4, CD8, FOXP3, PD-L1 and PD-1 were analyzed by immunohistochemistry. The Nanostring PanCancer Immune Profiling Panel was used for gene expression profiling. Data were externally validated in the TCGA head and neck (HNSCC), melanoma and lung squamous cell carcinoma (LSCC) cohorts. A 24-immune gene signature was identified that discriminated more aggressive OTSCC cases, and although not prognostic in HNSCC was associated with survival in other TCGA cohorts (improved survival for melanoma, p<0.001 and worse survival for LSCC, p=0.038). OTSCC exhibited concordant gene and IHC features characterized by a TH-2 biased, pro-inflammatory profile with upregulated B cell and neutrophil gene activity and increased CD4, FOXP3 and PD-L1 expression (p<0.001 for all by IHC). Compared to less advanced disease, nodal involvement and recurrent OTSCC did not induce a different immune response although recurrent disease was characterized by significantly higher PD-L1 expression (p=0.004 by SP263, p=0.013 by 22C3, p=0.004 for gene expression). Identification of a gene signature associated with different prognostic effects in other cancers highlights common pathways of immune dysregulation that are impacted by the tumor origin. The significant immunosuppressive signaling in OTSCC indicates primary failure of immune system to control carcinogenesis emphasizing the need for early, combination therapeutic approaches.",Homo sapiens,Characterization of the immune profile of oral tongue squamous cell carcinomas with advancing disease
2020-05-01,3600,GSE148444,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148444/,200148444,2020-05-01,GSE,"Altered signaling pathways typify breast cancer and serve as direct inputs to steroid hormone receptor sensors. We previously reported that phospho-Ser134-GR (pS134-GR) species are elevated in triple negative breast cancer (TNBC) and cooperate with hypoxia-inducible factors, providing a novel avenue for activation of GR in response to local or cellular stress. We probed GR regulation by factors (cytokines, growth factors) that are rich within the tumor microenvironment (TME). TNBC cells harboring endogenous wild-type (wt) or S134A-GR species were created by CRISPR/Cas knock-in and subjected to transwell migration, invasion, soft-agar colony formation, and tumorsphere assays. RNA-Seq was employed to identify pS134-GR target genes that are regulated both basally (intrinsic) or by TGFβ in the absence of exogenously added GR ligands. Regulation of selected basal and TGFβ-induced pS134-GR target genes was validated by qRT-PCR and chromatin immunoprecipitation assays. Bioinformatics tools were used to probe public data sets for expression of pS134-GR 24-gene signatures. In the absence of GR ligands, GR is transcriptionally activated via p38-dependent phosphorylation of Ser134 as a mechanism of homeostatic stress-sensing and regulated upon exposure of TNBC cells to TME-derived agents. The ligand-independent pS134-GR transcriptome encompasses TGFβ1 and MAPK signaling gene sets associated with TNBC cell survival and migration/invasion. Accordingly, pS134-GR was essential for TNBC cell anchorage-independent growth in soft-agar, migration, invasion, and tumorsphere formation, an in vitro readout of cancer stemness properties. Both pS134-GR and expression of the MAPK-scaffolding molecule 14-3-3ζ were essential for a functionally intact p38 MAPK signaling pathway downstream of MAP3K5/ASK1, indicative of a feed-forward signaling loop wherein self-perpetuated GR phosphorylation enables cancer cell autonomy. A 24-gene pS134-GR-dependent signature induced by TGFβ1 predicts shortened overall survival in breast cancer patients. Phospho-S134-GR is a critical downstream effector of p38 MAPK signaling and TNBC migration/invasion, survival, and stemness properties. Our studies define a ligand-independent role for GR as a homeostatic “sensor” of intrinsic stimuli as well as extrinsic factors rich within the TME (TGFβ1) that enables potent activation of the p38 MAPK stress-sensing pathway and nominate pS134-GR as a therapeutic target in aggressive TNBC.",Homo sapiens,Glucocorticoid Receptors are Required Effectors of TGFb1-Induced p38 MAPK Signaling to Advanced Cancer Phenotypes in Triple Negative Breast Cancer
2020-05-01,3601,GSE148162,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE148nnn/GSE148162/,200148162,2020-05-01,GSE,"Although understanding of T-cell exhaustion is widely based on mouse models, its analysis in cancer patients could provide clues indicating tumor sensitivity to immune checkpoint blockade (ICB). Data suggests a role for costimulatory pathways, particularly CD28, in exhausted T-cell responsiveness to PD-1/PD-L1 blockade. Here, we used single-cell transcriptomic, phenotypic, and functional approaches to dissect the relation between CD8+ T-cell exhaustion, CD28 costimulation, and tumor specificity in head and neck, cervical, and ovarian cancers. We found that memory tumor-specific CD8+ T cells, but not bystander cells, sequentially express immune checkpoints once they infiltrate tumors leading, in situ, to a functionally exhausted population. Exhausted T cells were nonetheless endowed with effector and tumor residency potential but exhibited loss of the costimulatory receptor CD28 in comparison to their circulating memory counterparts. Accordingly, PD-1 inhibition improved proliferation of circulating tumor-specific CD8 T cells and reversed functional exhaustion of specific T cells at tumor sites. In agreement with their tumor specificity, high infiltration of tumors by exhausted cells was predictive of response to therapy and survival in ICB-treated head and neck cancer patients. Our results showed that PD-1 blockade–mediated proliferation/reinvigoration of circulating memory T cells and local reversion of exhaustion occur concurrently to control tumors.",Homo sapiens,Dual Relief of T-Lymphocyte Proliferation and Effector Function Underlies Response to PD-1 Blockade in Epithelial Malignancies
2020-05-01,3603,GSE146026,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146026/,200146026,2020-05-01,GSE,"To understand the cellular diversity within malignant ascites, we profiled ~11,000 single cells from 22 samples by Smartseq2 and by 10x.",Homo sapiens,single cell RNA-seq analysis of ovarian cancer ascites
